walletAddress,contribution
HPVmWTaSxiRb3QfvCZAehY4fw1z8bkYp3vdbV3dPs6x9,0.0789
AwwaqsXTF4jMmv6x3Hvfcuhgon2oaJ6tVvRHRV3Vp9Le,0.08
4NBnTamX3jN6WZ65cfkEaFHERjznU4KNeoNShAkqbpVK,0.08
Fc2uPFv494Xc2UWjtdVFUURvYBrMNZW95hvCxqukbc2w,0.077863428
449T6P4w1PesomJEaW7aW5ePe2udXW2ctZdDxYzRxx1P,0.08
2Jnyydiu7s7XXcYgohRRG5wWPQezLqkDwNxPSauvjHT6,0.08
9cnqQ7jJeLP4YZygN1S8t9khGx6G1DBn3CVaHT1EnHkD,0.079
CpGVWcGbNjraDbTCoz8vGNRtJWbQGWaQfBsjSdHVG6g5,0.079
6mWHwLQWiU3udgJDX45SnzGBGmGoHBQsmmSxJmakkFmk,0.1
3j4Svr7U8AEmp1KsKCkVzek7oGLSAMGcMU4Jcvj7tvxY,0.07730998
J3RHVG5JnPKkgSrQNwXkNQ7tS1oNrXXrjkYkvpvuMCk6,0.08
DzAq2fQEa6xPuNGe6MgEjA2N4JA1bYHKWr1NHW7EtHTm,0.08
AKyitCE9xCVYvMTcRD6wnaarUkWtF1cg8Qm8tMFSjdp,0.078
GtkGVshrGEic3XHdPR3U3XsKYW13dPe3Nda8RHdTU8o8,0.063
HEuDgdT3boHxkS6iCwGQu92Qz9m5sFXNQYB4gBkyoFeg,0.0779
BJwn8xtz1VGskdiBSfRtuDcVoaGC1PprY79v8dmJR62o,0.08
F7BoDHV5fWCLA4NCUKVv1cP31q5NxAyMbny47PbRfCcG,0.079672572
6c6YicxVMSReXE8sEh2vUAYtn2SXAYwxkq1CnairLbqp,0.079177674
9oZgXoPk1dEeA15EEZU6WFp1Z4scbcQ3PHudu3Y3NWi6,0.09
5z3rGxhd3okH6prXVcRj4sw5U73JRWg48uEaLjT47UwS,0.077571691
4hMPrRo7LkGCoRFN2MjmAzj6Xt89fHWoRA2r2pY6Tpsb,0.077906053
D1EPM4NGa1uywfHQQXgMZwt7EdSKn9UXGXZmAWouPgv2,0.077926157
C1qJa756vWEbTz34YieB4dKv7MMQhaqZZPksmwxPqhGF,0.081741954
FtZmGLguH8B7rPqe6nfb53wcqeNwHSWP9GpMhXk8SGXZ,0.086
CPNuRu4bfkNeXbSxMHTAezq3CAhaQRoCodXWSK8PGJMT,0.078203836
9MDFzFqZHEAHHXCpTfv6GmWvj6nvFq74Gg8crdVWEF8t,0.08
An1i65hkzYLWk4wBaCuiLeyWFtzbAA8WtPJMtzfNGkbV,0.1
8pUZvXabaoUWfn5QbkBRnyjw44pg7tgRUSrvsRWHo7MP,0.1
HwrX6b7bc6pqi6V5FYstW3N6JJBczEFTHdycSLtSy8HC,0.08
DngyWvWHhKFC6hVprpUgEqFtjQnKYL7Nsh5DfqjabWDC,0.08
EZaTSP5szsK4LzPZY4RkX18cosVSLGjauJRkvBgU4T8f,0.08
BUQfapeBuFiE2LSGyZfPWnP3KGF4gcF6nhqMUcdBJhZ3,0.08
Fo6sk5acjxEicTRjV5vtqeHgF2g2YM6aFh48UaATECb9,0.08
84MuYwbZiPXzt7qHoXwt1eyv1kZw7e8FrXYBKenMeLrx,0.078
